Servidor;IDEN1;EXT1;AMO1;IM1;INTEG1;INTRO1;IDEN2;IM2;EXT2;INTEG2;INTRO2;AMO2;INTRO3;IDEN3;IM3;EXT3;AMO3;INTEG3;MPS1;MPS2;MPS3;MPS4;MPS5;CP1;CP2;CP3;CP4;CV1;CV2;CC1;CV3;CV4;CV5;CC2;CV6;CC3;CV7;CC4;CN3;CV8;CV9;CC5;SV1;SV2;SV3;SV4;SV5;Sexo;Ano;Escolaridade;Salario;Tempo;Area;Esfera;Poder;Carimbo
Sim;3;3;1;2;5;4;2;2;4;4;2;2;4;4;5;4;1;5;5;4;5;4;4;5;3;5;5;4;5;1;5;4;5;4;2;1;4;1;4;5;4;1;4;4;5;5;5;Feminino;1956 a 1965;Pós-graduado (Lato Sensu);Entre 5 e 9 salários mínimos;Entre 16 e 20 anos;Educação;Estadual;Outro;2020-06-25 20:08:00.000
Sim;1;1;1;5;4;1;4;5;4;4;5;1;3;2;5;4;1;1;4;4;5;4;5;5;1;1;2;5;5;1;2;3;5;3;4;4;4;1;1;5;5;1;5;4;5;5;5;Masculino;1966 a 1975;Pós-graduado (Lato Sensu);Entre 5 e 9 salários mínimos;Entre 0 e 5 anos;Direito;Municipal;Executivo;2020-06-20 20:01:00.000
Sim;5;3;5;4;4;3;4;4;3;3;4;3;3;3;4;4;1;4;4;5;5;4;4;4;4;4;4;5;5;3;3;4;4;3;4;4;4;3;2;3;3;1;4;4;4;4;4;Feminino;1966 a 1975;Pós-graduado (Lato Sensu);Entre 5 e 9 salários mínimos;Entre 0 e 5 anos;Fiscal;Municipal;Executivo;2020-06-27 12:20:00.000
Sim;1;4;1;4;5;1;4;4;5;5;1;1;5;4;3;5;1;3;5;4;5;5;3;3;3;3;3;1;1;5;4;3;1;5;2;1;1;1;5;2;1;3;5;4;1;4;1;Masculino;1976 a 1985;Pós-graduado (Lato Sensu);Entre 5 e 9 salários mínimos;Entre 6 e 10 anos;Administrativa;Estadual;Outro;2020-07-01 15:57:00.000
Sim;3;3;1;5;3;1;3;4;4;3;2;4;3;4;4;2;5;3;5;4;4;3;4;4;3;3;3;4;5;2;1;3;3;4;4;3;3;2;3;4;2;1;3;3;4;5;4;Masculino;1966 a 1975;Pós-graduado (Lato Sensu);Mais de 15 salários mínimos;Entre 0 e 5 anos;Fiscal;Municipal;Executivo;2020-06-04 05:53:00.000
Sim;4;3;1;5;4;3;1;4;3;5;1;1;5;5;5;3;1;4;4;5;4;4;4;4;4;4;5;5;5;1;4;5;5;5;5;1;5;1;1;4;5;1;5;5;5;5;4;Masculino;1956 a 1965;Pós-graduado (Lato Sensu);Mais de 15 salários mínimos;Entre 11 e 15 anos;Direito;Municipal;Executivo;2020-06-03 02:23:00.000
Sim;4;4;1;5;3;1;3;5;5;3;5;1;2;3;4;5;3;1;5;5;4;3;4;5;5;4;3;3;3;3;2;3;3;3;3;1;3;1;5;5;5;1;3;5;5;5;5;Feminino;1976 a 1985;Pós-graduado (Lato Sensu);Entre 5 e 9 salários mínimos;Entre 6 e 10 anos;Fiscal;Municipal;Executivo;2020-06-01 17:16:00.000
Sim;4;4;1;5;4;4;4;5;4;4;4;1;4;4;5;4;1;4;5;5;4;4;3;4;4;4;2;4;5;1;1;3;5;3;5;1;5;1;1;5;4;1;5;4;5;5;5;Feminino;1966 a 1975;Pós-graduado (Lato Sensu);Entre 10 e 14 salários mínimos;Entre 31 e 35 anos;Administrativa;Municipal;Executivo;2020-06-05 07:28:00.000
Sim;2;2;1;4;4;1;3;3;3;3;5;4;3;4;1;5;1;2;5;1;3;3;4;3;2;5;4;5;5;1;5;3;4;4;3;2;5;1;1;3;4;1;5;4;5;5;4;Masculino;1956 a 1965;Superior;Entre 5 e 9 salários mínimos;Entre 0 e 5 anos;Fiscal;Municipal;Executivo;2020-06-05 16:28:00.000
Sim;5;1;1;3;2;1;4;1;1;1;1;1;3;2;2;2;1;1;5;3;5;4;4;4;4;5;4;5;5;1;2;1;5;5;4;1;5;1;1;5;5;2;4;5;5;4;5;Feminino;1945 a 1955;Pós-graduado (Lato Sensu);Entre 1 e 4 salários mínimos;Entre 11 e 15 anos;Administrativa;Municipal;Executivo;2020-07-09 21:40:00.000
Sim;1;2;1;5;5;5;5;5;3;4;4;4;5;5;5;4;3;4;4;5;5;5;5;5;5;5;4;5;5;5;5;4;4;4;5;5;5;5;5;5;4;4;4;4;4;4;4;Masculino;1966 a 1975;Superior;Entre 1 e 4 salários mínimos;Entre 16 e 20 anos;Administrativa;Municipal;Executivo;2020-07-08 15:11:00.000
Sim;4;3;3;2;3;3;2;2;2;2;2;2;2;2;5;4;5;1;4;2;1;4;4;3;3;3;3;3;3;3;1;2;2;5;1;1;1;5;5;3;3;4;3;2;2;2;1;Masculino;1976 a 1985;Pós-graduado (Lato Sensu);Entre 5 e 9 salários mínimos;Entre 6 e 10 anos;Outros;Municipal;Executivo;2020-07-09 00:46:00.000
Sim;4;4;1;5;5;4;5;3;4;4;4;1;5;4;5;5;1;5;5;4;4;5;4;4;4;4;4;4;2;2;2;1;5;4;5;1;5;1;1;5;4;1;2;5;4;3;4;Masculino;1976 a 1985;Superior;Mais de 15 salários mínimos;Entre 11 e 15 anos;Fiscal;Municipal;Executivo;2020-06-08 01:25:00.000
Sim;3;5;1;4;5;4;5;5;1;5;4;5;5;5;5;3;2;4;5;5;4;5;3;4;4;5;4;5;4;1;1;4;5;5;5;1;5;3;2;5;5;1;4;4;5;4;4;Feminino;1976 a 1985;Pós-graduado (Lato Sensu);Entre 5 e 9 salários mínimos;Entre 6 e 10 anos;Direito;Municipal;Executivo;2020-06-09 00:21:00.000
Sim;4;2;1;4;1;1;4;5;3;4;5;1;3;3;3;1;1;4;4;4;2;5;5;3;3;3;5;2;5;1;4;4;5;1;5;3;5;5;1;5;5;2;5;4;4;5;5;Feminino;1966 a 1975;Pós-graduado (Lato Sensu);Entre 5 e 9 salários mínimos;Entre 31 e 35 anos;Administrativa;Municipal;Executivo;2020-06-03 16:21:00.000
Sim;4;3;1;4;3;3;3;3;1;4;3;1;4;4;4;4;3;3;4;2;4;5;3;5;3;4;4;4;4;1;3;2;5;4;4;2;5;1;2;4;3;1;3;2;2;4;5;Masculino;1976 a 1985;Superior;Entre 1 e 4 salários mínimos;Entre 6 e 10 anos;Administrativa;Municipal;Executivo;2020-07-09 12:36:00.000
Sim;1;2;1;5;5;1;1;5;2;4;4;4;5;5;5;4;3;4;4;5;5;5;5;5;5;5;5;5;5;5;4;2;4;4;1;5;5;5;5;5;4;4;4;4;4;4;4;Masculino;1966 a 1975;Superior;Entre 1 e 4 salários mínimos;Entre 16 e 20 anos;Administrativa;Municipal;Executivo;2020-06-06 13:41:00.000
Sim;4;4;1;5;5;1;4;4;4;4;4;1;1;3;5;4;1;4;5;4;4;1;4;5;5;5;5;4;5;5;1;4;5;4;4;4;5;1;4;5;1;1;5;5;4;5;4;Feminino;1976 a 1985;Pós-graduado (Lato Sensu);Mais de 15 salários mínimos;Entre 6 e 10 anos;Fiscal;Municipal;Executivo;2020-06-02 10:39:00.000
Sim;5;4;1;3;3;3;4;4;5;5;3;5;4;5;4;5;1;4;4;4;2;4;4;5;3;3;3;4;3;1;3;2;3;3;4;1;2;3;2;5;3;1;5;5;5;3;4;Feminino;1966 a 1975;Superior;Mais de 15 salários mínimos;Entre 21 e 25 anos;Outros;Federal;Executivo;2020-06-07 12:06:00.000
Sim;4;4;2;4;4;2;3;3;3;4;3;1;4;5;4;5;1;5;5;3;4;3;2;2;4;3;5;4;3;3;1;4;4;3;4;4;3;3;3;5;5;2;5;5;3;5;3;Feminino;1986 a 1995;Pós-graduado (Lato Sensu);Entre 5 e 9 salários mínimos;Entre 6 e 10 anos;Segurança;Estadual;Executivo;2020-06-12 13:18:00.000
Sim;4;4;1;2;5;3;4;4;2;5;4;2;2;4;4;5;1;4;5;1;4;1;2;1;1;4;1;4;4;3;1;4;2;1;4;1;4;2;4;4;2;1;2;2;5;5;4;Feminino;1986 a 1995;Mestre;Entre 1 e 4 salários mínimos;Entre 0 e 5 anos;Educação;Municipal;Executivo;2020-06-17 02:12:00.000
Sim;5;5;2;3;5;1;1;2;1;4;5;1;4;4;2;5;1;4;5;5;4;4;4;5;3;1;4;2;4;2;1;4;5;5;4;3;3;3;5;4;4;4;4;4;4;4;4;Masculino;1976 a 1985;Mestre;Entre 5 e 9 salários mínimos;Entre 21 e 25 anos;Administrativa;Federal;Executivo;2020-06-18 20:28:00.000
Sim;5;4;1;3;3;3;4;4;5;5;5;1;3;5;3;5;1;3;5;5;3;3;3;4;3;5;5;3;1;3;2;2;3;5;3;1;1;3;5;4;1;3;2;3;1;3;2;Masculino;1976 a 1985;Mestre;Entre 5 e 9 salários mínimos;Entre 0 e 5 anos;Administrativa;Estadual;Outro;2020-06-22 11:57:00.000
Sim;1;5;1;1;5;1;5;5;5;4;5;1;5;4;4;5;1;5;5;3;1;5;3;3;4;3;3;5;5;1;4;5;5;5;4;1;5;1;1;5;3;1;3;2;4;5;3;Masculino;1986 a 1995;Mestre;Entre 5 e 9 salários mínimos;Entre 0 e 5 anos;Educação;Federal;Executivo;2020-06-19 13:38:00.000
Sim;4;4;1;3;3;3;4;4;5;5;3;1;3;5;4;5;1;4;5;5;4;2;3;3;3;5;4;4;5;1;1;3;1;4;3;2;4;1;4;4;4;1;4;4;4;4;4;Masculino;1986 a 1995;Mestre;Entre 5 e 9 salários mínimos;Entre 0 e 5 anos;Educação;Federal;Executivo;2020-06-14 05:52:00.000
Sim;4;4;2;4;3;1;4;3;4;5;3;1;3;4;4;5;1;4;5;5;3;4;3;4;4;1;4;3;4;2;1;4;3;4;3;3;4;2;2;5;3;1;4;2;4;4;3;Masculino;1976 a 1985;Mestre;Mais de 15 salários mínimos;Entre 6 e 10 anos;Outros;Estadual;Outro;2020-06-18 15:02:00.000
Sim;5;4;1;1;1;1;4;2;5;5;5;1;5;4;5;5;5;1;5;1;5;1;5;4;1;5;4;1;3;1;4;1;4;1;1;5;1;5;5;5;1;1;4;5;5;3;5;Masculino;1976 a 1985;Pós-graduado (Lato Sensu);Entre 5 e 9 salários mínimos;Entre 6 e 10 anos;Educação;Federal;Executivo;2020-06-21 21:48:00.000
Sim;2;4;1;1;1;1;1;2;3;4;2;1;2;4;1;5;2;5;4;4;3;3;4;4;2;5;4;4;2;4;1;2;3;1;1;4;2;5;4;2;1;5;3;3;2;3;2;Masculino;1986 a 1995;Pós-graduado (Lato Sensu);Entre 5 e 9 salários mínimos;Entre 0 e 5 anos;Administrativa;Federal;Executivo;2020-06-19 16:35:00.000
Sim;5;1;5;3;4;1;4;4;2;2;1;1;1;4;2;5;2;4;5;4;4;4;2;4;2;5;4;4;4;1;1;4;2;4;1;2;4;2;4;5;2;2;5;4;4;4;4;Masculino;1976 a 1985;Mestre;Entre 5 e 9 salários mínimos;Entre 6 e 10 anos;Educação;Federal;Executivo;2020-06-16 05:43:00.000
Sim;2;2;3;4;4;2;3;3;2;2;2;3;2;3;2;3;5;3;5;3;5;5;5;5;3;5;5;5;5;4;3;4;3;2;3;5;4;4;5;5;5;5;5;5;5;2;3;Feminino;1966 a 1975;Pós-graduado (Lato Sensu);Entre 1 e 4 salários mínimos;Entre 0 e 5 anos;Administrativa;Municipal;Executivo;2020-06-22 16:46:00.000
Sim;4;3;1;2;5;1;2;4;4;4;3;2;4;5;2;4;5;3;4;2;4;2;4;4;4;4;4;5;5;1;1;2;5;4;4;1;5;1;1;4;4;1;3;3;2;4;4;Masculino;1976 a 1985;Pós-graduado (Lato Sensu);Mais de 15 salários mínimos;Entre 0 e 5 anos;Fiscal;Municipal;Executivo;2020-06-21 17:05:00.000
Sim;1;1;1;3;4;2;3;4;3;3;3;2;3;4;4;2;1;5;5;5;3;4;5;3;3;3;3;5;5;1;1;4;5;3;4;3;5;1;5;5;4;1;4;4;5;4;4;Masculino;1976 a 1985;Pós-graduado (Lato Sensu);Entre 5 e 9 salários mínimos;Entre 11 e 15 anos;Direito;Municipal;Executivo;2020-06-19 16:56:00.000
Sim;4;4;1;5;4;1;1;5;1;4;1;1;1;1;1;4;1;5;5;5;3;5;5;2;5;2;4;2;5;1;5;4;5;4;4;3;4;5;4;4;4;1;4;3;4;4;2;Feminino;1966 a 1975;Pós-graduado (Lato Sensu);Entre 1 e 4 salários mínimos;Entre 6 e 10 anos;Outros;Municipal;Executivo;2020-06-17 15:30:00.000
Sim;4;5;1;4;4;5;5;4;4;5;5;1;5;5;5;4;1;4;5;4;5;4;4;4;1;5;2;4;4;1;1;4;4;4;4;4;4;1;1;5;5;1;5;3;3;3;3;Masculino;1956 a 1965;Pós-graduado (Lato Sensu);Mais de 15 salários mínimos;Acima de 35 anos;Outros;Estadual;Executivo;2020-06-16 01:22:00.000
Sim;5;4;1;3;5;2;4;4;3;4;2;2;2;5;4;3;3;4;5;4;5;3;5;2;3;2;4;4;5;5;3;4;4;5;3;3;3;1;1;3;4;1;4;3;3;3;2;Feminino;1996 a 2005;Superior;Entre 1 e 4 salários mínimos;Entre 0 e 5 anos;Administrativa;Estadual;Executivo;2020-06-11 20:35:00.000
Sim;5;4;2;5;1;5;5;5;4;5;5;1;3;5;5;4;3;1;5;1;4;4;4;4;4;5;4;5;4;4;1;4;5;4;4;3;4;3;2;5;4;1;4;4;4;5;4;Feminino;1986 a 1995;Superior;Entre 5 e 9 salários mínimos;Entre 0 e 5 anos;Administrativa;Estadual;Executivo;2020-06-08 05:28:00.000
Sim;5;3;2;3;5;3;4;3;3;4;2;3;3;3;3;5;3;5;5;5;3;1;2;3;3;1;3;4;3;2;1;3;3;2;3;2;3;1;4;5;2;1;3;2;3;4;4;Masculino;1976 a 1985;Pós-graduado (Lato Sensu);Entre 1 e 4 salários mínimos;Entre 11 e 15 anos;Administrativa;Municipal;Executivo;2020-06-08 10:25:00.000
Sim;4;4;1;5;4;1;4;3;4;4;1;1;4;5;5;3;1;4;5;5;4;5;3;5;5;5;5;5;4;1;1;5;5;4;2;3;5;1;1;5;5;1;4;5;4;4;5;Feminino;1976 a 1985;Superior;Entre 1 e 4 salários mínimos;Entre 6 e 10 anos;Administrativa;Estadual;Executivo;2020-06-22 18:57:00.000
Sim;4;4;1;4;3;3;5;4;3;2;1;1;4;5;5;5;1;3;5;4;3;2;1;4;4;4;4;4;5;2;1;3;5;4;5;1;5;1;1;5;4;1;4;4;4;5;2;Masculino;1976 a 1985;Mestre;Entre 10 e 14 salários mínimos;Entre 6 e 10 anos;Educação;Federal;Executivo;2020-06-28 19:47:00.000
Sim;4;3;1;5;5;1;3;3;3;3;5;4;5;5;4;4;3;4;5;4;3;2;5;3;2;5;2;3;3;1;3;5;5;3;1;2;2;3;3;3;1;1;5;4;3;5;3;Masculino;1976 a 1985;Pós-graduado (Lato Sensu);Entre 1 e 4 salários mínimos;Entre 11 e 15 anos;Segurança;Estadual;Executivo;2020-06-26 13:26:00.000
Sim;3;4;5;4;4;3;3;4;3;5;5;5;2;3;5;5;1;3;4;4;2;5;4;2;2;5;2;3;4;5;3;5;5;4;5;3;4;5;4;5;1;4;3;4;5;4;1;Masculino;1945 a 1955;Mestre;Mais de 15 salários mínimos;Entre 21 e 25 anos;Administrativa;Estadual;Executivo;2020-06-03 22:22:00.000
Sim;4;4;1;3;5;1;4;4;1;2;3;5;3;2;3;4;4;2;5;5;5;5;4;5;4;3;4;4;3;1;2;4;4;3;4;1;2;1;2;3;2;1;4;5;5;3;1;Masculino;1966 a 1975;Pós-graduado (Lato Sensu);Mais de 15 salários mínimos;Entre 26 e 30 anos;Fiscal;Municipal;Executivo;2020-06-06 13:38:00.000
Sim;5;2;1;5;4;1;5;5;2;5;1;5;4;4;4;4;1;4;5;1;4;2;5;5;4;4;4;5;5;1;5;4;4;5;5;5;5;1;5;1;4;1;4;5;4;4;5;Feminino;1976 a 1985;Superior;Entre 1 e 4 salários mínimos;Entre 11 e 15 anos;Fiscal;Municipal;Executivo;2020-06-08 21:33:00.000
Sim;4;4;1;4;3;2;5;4;4;4;3;2;4;4;5;5;1;4;5;4;3;3;3;4;3;3;3;5;5;1;2;3;4;2;4;1;4;1;4;5;4;1;4;4;4;4;4;Masculino;1956 a 1965;Pós-graduado (Lato Sensu);Entre 10 e 14 salários mínimos;Entre 11 e 15 anos;Outros;Estadual;Executivo;2020-06-18 16:41:00.000
Sim;4;2;1;3;3;4;3;4;4;5;4;1;3;4;5;4;2;5;5;4;4;2;1;4;3;2;3;4;4;2;3;4;4;4;3;2;4;2;4;5;4;2;3;3;4;4;4;Masculino;1976 a 1985;Pós-graduado (Lato Sensu);Mais de 15 salários mínimos;Entre 11 e 15 anos;Outros;Estadual;Executivo;2020-06-19 00:44:00.000
Sim;3;2;3;3;5;3;5;4;3;3;5;2;3;5;5;4;2;5;4;5;4;5;5;5;4;4;4;5;5;2;4;3;5;2;5;4;5;2;3;5;5;2;5;4;4;4;4;Masculino;1956 a 1965;Pós-graduado (Lato Sensu);Mais de 15 salários mínimos;Acima de 35 anos;Outros;Estadual;Executivo;2020-06-21 23:53:00.000
Sim;5;4;1;3;5;4;4;3;3;4;4;1;1;4;3;5;1;4;5;4;3;3;4;4;4;4;4;4;3;2;1;4;4;4;3;3;5;3;2;5;2;1;4;3;3;5;3;Masculino;1976 a 1985;Mestre;Entre 10 e 14 salários mínimos;Entre 11 e 15 anos;Outros;Estadual;Executivo;2020-06-17 15:39:00.000
Sim;3;2;2;3;5;3;5;4;3;5;5;2;3;5;5;1;2;5;5;5;4;5;5;5;4;4;4;5;5;2;4;3;5;4;5;4;5;2;3;5;5;5;5;3;4;4;4;Masculino;1956 a 1965;Pós-graduado (Lato Sensu);Mais de 15 salários mínimos;Acima de 35 anos;Outros;Estadual;Executivo;2020-06-22 14:52:00.000
Sim;4;4;3;4;2;2;2;2;4;4;5;5;3;4;4;3;4;3;3;3;3;2;2;5;2;4;4;3;2;3;1;3;5;4;2;2;3;2;3;3;3;2;4;5;3;3;5;Masculino;1976 a 1985;Mestre;Mais de 15 salários mínimos;Entre 11 e 15 anos;Educação;Federal;Executivo;2020-06-24 08:23:00.000
Sim;5;2;1;4;5;4;3;1;3;4;5;2;4;4;5;4;1;4;5;5;4;1;3;5;2;4;1;3;3;1;4;4;4;5;5;4;4;2;2;5;4;1;3;3;3;3;2;Feminino;1966 a 1975;Pós-graduado (Lato Sensu);Entre 1 e 4 salários mínimos;Entre 6 e 10 anos;Administrativa;Federal;Executivo;2020-06-30 19:33:00.000
Sim;4;4;1;5;5;5;5;5;5;5;4;1;2;5;4;5;1;4;5;4;4;1;4;4;4;4;4;4;5;1;3;4;5;4;5;1;4;1;1;5;5;1;5;5;5;4;4;Masculino;1956 a 1965;Mestre;Mais de 15 salários mínimos;Entre 16 e 20 anos;Administrativa;Estadual;Executivo;2020-06-26 00:03:00.000
Sim;4;4;1;3;3;4;2;5;5;3;4;1;3;4;5;4;1;4;1;4;3;4;5;5;3;5;4;5;3;4;3;4;4;4;3;3;3;3;4;4;2;3;3;3;2;4;2;Masculino;1976 a 1985;Mestre;Mais de 15 salários mínimos;Entre 16 e 20 anos;Outros;Federal;Executivo;2020-07-06 06:55:49.000
Sim;2;5;1;4;1;1;1;4;4;4;4;2;4;2;3;5;1;1;4;4;4;2;4;4;3;2;5;4;4;1;1;4;3;3;2;4;5;1;1;1;4;1;5;5;5;5;4;Masculino;1976 a 1985;Pós-graduado (Lato Sensu);Entre 10 e 14 salários mínimos;Entre 16 e 20 anos;Outros;Estadual;Executivo;2020-06-19 16:32:00.000
Sim;5;5;1;4;2;4;4;3;5;4;4;1;4;5;5;5;1;3;5;4;3;3;4;5;2;2;4;4;5;1;3;4;5;2;4;1;4;1;2;4;5;1;4;4;4;4;2;Masculino;1966 a 1975;Superior;Entre 10 e 14 salários mínimos;Entre 16 e 20 anos;Outros;Estadual;Executivo;2020-06-16 12:16:00.000
Sim;1;1;5;1;1;4;2;3;2;1;3;5;3;1;2;1;1;3;1;3;2;4;1;1;2;3;2;2;3;3;4;3;2;2;3;5;1;3;2;1;3;5;2;2;2;2;3;Masculino;1956 a 1965;Pós-graduado (Lato Sensu);Mais de 15 salários mínimos;Entre 11 e 15 anos;Outros;Estadual;Executivo;2020-06-10 05:25:00.000
Sim;1;1;1;1;1;1;1;1;1;4;1;4;1;1;1;4;5;1;4;1;1;1;2;4;3;4;3;1;1;1;1;1;1;4;1;1;1;1;1;4;4;1;4;3;2;4;1;Feminino;1976 a 1985;Pós-graduado (Lato Sensu);Entre 5 e 9 salários mínimos;Entre 11 e 15 anos;Educação;Estadual;Executivo;2020-06-27 09:08:00.000
Sim;3;4;1;3;4;5;5;5;5;4;5;1;3;4;4;5;1;5;5;4;4;3;3;2;4;4;4;4;3;1;3;3;5;5;4;1;5;2;3;5;4;1;4;4;4;4;4;Feminino;1976 a 1985;Pós-graduado (Lato Sensu);Mais de 15 salários mínimos;Entre 21 e 25 anos;Administrativa;Estadual;Executivo;2020-06-26 14:55:00.000
Sim;5;4;2;2;4;1;1;2;3;4;2;5;2;3;2;5;2;2;4;3;3;3;4;4;4;3;4;4;3;5;5;4;4;4;3;4;5;2;2;4;3;1;5;4;5;4;5;Masculino;1966 a 1975;Pós-graduado (Lato Sensu);Mais de 15 salários mínimos;Entre 11 e 15 anos;Direito;Estadual;Executivo;2020-06-29 03:56:00.000
Sim;2;1;1;3;2;1;4;2;5;1;3;3;2;5;2;1;3;3;5;2;4;2;4;5;5;2;4;5;4;2;1;3;3;5;3;3;2;1;3;5;3;1;2;4;2;5;1;Feminino;1986 a 1995;Superior;Entre 1 e 4 salários mínimos;Entre 0 e 5 anos;Outros;Estadual;Executivo;2020-06-23 09:24:00.000
Sim;4;4;1;3;1;1;4;3;5;4;3;4;4;5;1;5;1;3;5;5;1;2;5;5;4;5;4;3;1;4;1;1;1;5;5;3;4;5;5;5;3;5;5;4;5;5;4;Masculino;1966 a 1975;Mestre;Mais de 15 salários mínimos;Entre 16 e 20 anos;Outros;Estadual;Executivo;2020-06-10 17:45:00.000
Sim;3;3;2;3;2;3;3;1;1;1;1;3;1;2;1;4;3;2;2;2;2;4;2;3;3;2;3;1;2;5;2;2;5;3;2;4;3;4;3;4;3;3;3;2;2;2;2;Feminino;1986 a 1995;Superior;Entre 1 e 4 salários mínimos;Entre 0 e 5 anos;Educação;Municipal;Executivo;2020-07-02 14:00:45.000
Sim;4;4;1;4;4;4;4;4;2;4;3;4;4;5;4;5;3;3;5;5;5;2;2;5;5;5;5;4;4;4;4;4;5;5;4;1;4;1;1;4;4;2;4;3;4;3;2;Masculino;1976 a 1985;Superior;Entre 1 e 4 salários mínimos;Entre 6 e 10 anos;Educação;Municipal;Executivo;2020-06-30 05:15:00.000
Sim;4;1;1;4;5;5;5;4;5;5;4;1;4;5;4;5;1;5;5;4;4;4;2;5;5;4;5;5;5;1;2;4;5;3;3;4;5;1;4;1;5;1;5;5;5;5;4;Feminino;1966 a 1975;Pós-graduado (Lato Sensu);Entre 10 e 14 salários mínimos;Entre 11 e 15 anos;Outros;Federal;Outro;2020-06-10 15:05:00.000
Sim;4;1;1;4;1;1;2;4;4;1;1;1;1;4;1;4;1;1;2;1;1;1;2;5;4;3;5;4;5;4;4;4;5;5;4;1;4;1;1;5;4;1;5;5;5;5;5;Masculino;1976 a 1985;Pós-graduado (Lato Sensu);Entre 10 e 14 salários mínimos;Entre 11 e 15 anos;Outros;Federal;Executivo;2020-06-26 08:25:00.000
Sim;5;4;1;5;4;3;4;4;4;4;2;1;4;4;2;3;2;3;3;2;2;2;2;3;1;3;1;4;5;4;1;5;4;3;4;2;2;1;5;5;4;1;1;4;4;3;5;Masculino;1966 a 1975;Superior;Mais de 15 salários mínimos;Entre 31 e 35 anos;Outros;Federal;Executivo;2020-06-24 01:28:00.000
Sim;1;2;2;1;3;1;5;1;2;1;1;4;1;1;2;3;5;1;3;3;4;3;3;5;3;4;4;3;2;2;1;2;1;1;5;1;1;3;4;5;3;2;1;1;1;2;1;Masculino;1966 a 1975;Superior;Entre 10 e 14 salários mínimos;Entre 11 e 15 anos;Outros;Federal;Executivo;2020-06-26 00:12:00.000
Sim;1;1;5;1;1;1;1;1;1;4;1;4;1;1;1;4;4;1;4;3;1;1;2;4;3;4;3;1;1;1;1;1;1;4;1;1;1;1;3;4;4;1;4;3;3;4;1;Feminino;1976 a 1985;Pós-graduado (Lato Sensu);Entre 5 e 9 salários mínimos;Entre 11 e 15 anos;Educação;Estadual;Executivo;2020-06-11 21:47:00.000
Sim;4;4;1;4;3;1;4;5;5;2;2;1;3;5;5;2;3;4;5;5;4;4;4;5;3;5;5;1;4;4;5;2;4;1;5;2;3;1;4;4;3;1;4;5;4;5;1;Masculino;1956 a 1965;Mestre;Mais de 15 salários mínimos;Entre 31 e 35 anos;Outros;Estadual;Executivo;2020-06-14 22:29:00.000
Sim;4;2;1;3;1;1;2;4;2;4;5;2;4;5;3;4;2;4;5;4;1;4;3;4;4;5;4;5;3;3;2;3;3;5;3;4;3;4;4;4;3;2;4;5;4;4;3;Masculino;1976 a 1985;Pós-graduado (Lato Sensu);Entre 1 e 4 salários mínimos;Entre 16 e 20 anos;Administrativa;Estadual;Executivo;2020-06-15 18:18:00.000
Sim;2;5;1;2;1;1;4;1;1;1;2;2;4;4;4;4;1;3;3;4;2;1;2;4;4;4;4;4;4;1;5;2;4;4;4;2;4;4;2;4;4;1;2;2;4;4;1;Feminino;1976 a 1985;Pós-graduado (Lato Sensu);Entre 1 e 4 salários mínimos;Entre 6 e 10 anos;Educação;Estadual;Outro;2020-06-22 22:37:00.000
Sim;3;3;3;3;2;5;2;4;2;4;5;1;3;3;2;5;1;3;5;2;3;4;4;4;4;4;4;4;5;1;3;4;5;2;2;4;4;2;3;5;1;1;4;4;5;5;4;Feminino;1976 a 1985;Pós-graduado (Lato Sensu);Entre 5 e 9 salários mínimos;Entre 11 e 15 anos;Administrativa;Federal;Executivo;2020-06-23 19:39:00.000
Sim;1;1;1;5;5;1;1;4;1;5;4;4;5;4;5;4;5;5;5;5;4;5;5;5;1;5;1;5;5;1;1;4;5;5;5;5;5;5;4;5;5;1;4;4;4;4;4;Masculino;1966 a 1975;Pós-graduado (Lato Sensu);Entre 5 e 9 salários mínimos;Entre 11 e 15 anos;Educação;Estadual;Executivo;2020-06-25 09:18:00.000
Sim;5;4;2;3;4;3;4;4;4;5;1;1;2;3;3;5;2;3;4;4;3;3;3;4;3;3;4;3;4;4;3;2;2;3;1;3;4;2;3;4;2;1;4;4;4;4;3;Feminino;1976 a 1985;Mestre;Mais de 15 salários mínimos;Entre 16 e 20 anos;Administrativa;Estadual;Executivo;2020-06-20 05:25:00.000
Sim;1;1;3;4;5;3;5;5;1;5;3;3;3;5;5;3;1;5;5;3;4;4;4;4;4;3;4;5;4;2;1;3;4;5;3;2;3;3;2;5;3;1;4;3;2;5;1;Masculino;1976 a 1985;Mestre;Entre 5 e 9 salários mínimos;Entre 16 e 20 anos;Outros;Estadual;Executivo;2020-06-27 23:27:00.000
Sim;5;4;2;5;3;1;1;4;3;3;5;1;3;4;4;5;3;3;2;5;5;3;3;4;3;3;5;4;5;1;3;3;5;5;4;1;4;5;3;4;4;1;3;2;4;4;3;Feminino;1986 a 1995;Superior;Entre 5 e 9 salários mínimos;Entre 6 e 10 anos;Outros;Federal;Executivo;2020-06-26 08:43:00.000
Sim;3;5;2;1;3;1;1;3;2;4;3;1;1;1;2;3;2;4;4;4;4;4;4;4;4;4;4;4;4;3;2;3;4;3;3;3;4;1;3;3;3;1;4;4;5;4;2;Feminino;1986 a 1995;Superior;Entre 1 e 4 salários mínimos;Entre 11 e 15 anos;Administrativa;Estadual;Executivo;2020-06-23 12:24:00.000
